2062, 2185, 2819
2064, 2186, 2806
2068, 2187, 2810
2060, 2191, 2811
2058, 2188, 2812
2068, 2177, 2817
2065, 2178, 2809
2056, 2180, 2816
2060, 2178, 2814
2062, 2182, 2804
2061, 2186, 2806
2057, 2189, 2800
1905, 2378, 2747
2556, 2688, 2745
1925, 889, 4011
2025, 2615, 3023
2210, 2235, 2927
2140, 2431, 2005
1513, 1887, 3508
2072, 2303, 2761
1457, 1862, 3169
1830, 1618, 2380
1518, 1897, 2949
1788, 1903, 2830
1935, 2019, 2714
2054, 2126, 2790
2085, 2134, 2808
2095, 2140, 2818
2069, 2146, 2801
2060, 2152, 2805
2058, 2176, 2809
2035, 2355, 2839
2013, 2255, 2764
2012, 2178, 2773
2043, 2162, 2802
2042, 2163, 2807
2055, 2178, 2817
2066, 2189, 2810
2062, 2184, 2809
2062, 2190, 2810
2068, 2187, 2815
2057, 2175, 2812
2056, 2182, 2807
2057, 2184, 2799
2062, 2183, 2810
2050, 2194, 2819
2052, 2174, 2810
2052, 2186, 2814
2066, 2175, 2815
2058, 2179, 2806
2061, 2188, 2812
